Academic_Year,County_Code,District_Code,School_Code,County_Name,District_Name,School_Name,District_Type,School_Type,Educational_Option_Type,NSLP_Provision_Status,Charter_School,Charter_School_Number,Charter_Funding_Type,IRC,Low_Grade,High_Grade,Enrollment_K12,Free_Meal_Count_K12,Percent_Eligible_Free_K12,FRPM_Count_K12,Percent_Eligible_FRPM_K12,Enrollment_Ages5_17,Free_Meal_Count_Ages_5_17,Percent_Eligible_Free_Ages_5_17,FRPM_Count_Ages_5_17,Percent_Eligible_FRPM_Ages_5_17,2015-16_CALPADS_Fall_1_Certification_Status
2014-2015,01,10017,0109835,Alameda,Alameda County Office of Education,FAME Public Charter,County Office of Education (COE),K-12 Schools (Public),Traditional,,Y,0728,Directly funded,Y,K,12,"1,087",565,52.0%,715,65.8%,"1,070",553,51.7%,702,65.6%,Y
2014-2015,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,,Y,0811,Directly funded,Y,9,12,395,186,47.1%,186,47.1%,376,182,48.4%,182,48.4%,Y
2014-2015,01,10017,0118489,Alameda,Alameda County Office of Education,Aspire California College Preparatory Academy,County Office of Education (COE),High Schools (Public),Traditional,,Y,1049,Directly funded,Y,9,12,244,134,54.9%,175,71.7%,230,128,55.7%,168,73.0%,Y
2014-2015,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,Breakfast Provision 2                             ,Y,1284,Directly funded,Y,K,8,191,113,59.2%,139,72.8%,190,113,59.5%,139,73.2%,Y
2014-2015,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,1296,Directly funded,Y,K,8,257,14,5.4%,21,8.2%,257,14,5.4%,21,8.2%,Y
2014-2015,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,1383,Directly funded,Y,K,8,279,81,29.0%,101,36.2%,273,78,28.6%,98,35.9%,Y
2014-2015,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,N,,,N,K,12,181,71,39.2%,73,40.3%,160,66,41.3%,68,42.5%,Y
2014-2015,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,,N,,,N,K,12,277,190,68.6%,223,80.5%,221,145,65.6%,172,77.8%,Y
2014-2015,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,0740,Directly funded,Y,K,5,597,493,82.6%,557,93.3%,586,483,82.4%,546,93.2%,Y
2014-2015,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,Provision 2                                       ,Y,1464,Directly funded,Y,K,8,437,336,76.9%,400,91.5%,437,336,76.9%,400,91.5%,Y
2014-2015,01,31609,0131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,,N,,,N,1,Adult,60,59,98.3%,59,98.3%,40,39,97.5%,39,97.5%,Y
2014-2015,01,31617,0131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,Provision 2                                       ,N,,,N,P,12,410,403,98.3%,403,98.3%,335,330,98.5%,330,98.5%,Y
2014-2015,01,61119,0000001,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,29,1,3.4%,1,3.4%,27,1,3.7%,1,3.7%,Y
2014-2015,01,61119,0106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,9,12,170,39,22.9%,52,30.6%,167,38,22.8%,50,29.9%,Y
2014-2015,01,61119,0111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,588,322,54.8%,398,67.7%,588,322,54.8%,398,67.7%,Y
2014-2015,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,,Y,1066,Directly funded,Y,K,12,476,117,24.6%,147,30.9%,470,115,24.5%,145,30.9%,Y
2014-2015,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1181,Directly funded,N,6,8,508,160,31.5%,193,38.0%,508,160,31.5%,193,38.0%,Y
2014-2015,01,61119,0126656,Alameda,Alameda Unified,Maya Lin,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,K,8,321,114,35.5%,134,41.7%,312,111,35.6%,131,42.0%,Y
2014-2015,01,61119,0128199,Alameda,Alameda Unified,Encinal Junior Jets,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,229,103,45.0%,128,55.9%,229,103,45.0%,128,55.9%,Y
2014-2015,01,61119,0130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,746",320,18.3%,396,22.7%,"1,675",307,18.3%,378,22.6%,Y
2014-2015,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,High Schools (Public),Traditional,,Y,0352,Directly funded,Y,6,12,376,35,9.3%,47,12.5%,374,33,8.8%,45,12.0%,Y
2014-2015,01,61119,0130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,,Y,0398,Directly funded,Y,9,12,161,123,76.4%,148,91.9%,142,110,77.5%,132,93.0%,Y
2014-2015,01,61119,0132878,Alameda,Alameda Unified,Encinal High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,052",371,35.3%,447,42.5%,"1,003",349,34.8%,422,42.1%,Y
2014-2015,01,61119,0134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,144,73,50.7%,83,57.6%,112,54,48.2%,63,56.3%,Y
2014-2015,01,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,519,127,24.5%,159,30.6%,504,123,24.4%,155,30.8%,Y
2014-2015,01,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,486,50,10.3%,58,11.9%,486,50,10.3%,58,11.9%,Y
2014-2015,01,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,588,74,12.6%,100,17.0%,588,74,12.6%,100,17.0%,Y
2014-2015,01,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,326,39,12.0%,50,15.3%,326,39,12.0%,50,15.3%,Y
2014-2015,01,61119,6090047,Alameda,Alameda Unified,Henry Haight Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,452,214,47.3%,254,56.2%,432,207,47.9%,246,56.9%,Y
2014-2015,01,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,900,105,11.7%,139,15.4%,900,105,11.7%,139,15.4%,Y
2014-2015,01,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,439,187,42.6%,218,49.7%,439,187,42.6%,218,49.7%,Y
2014-2015,01,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,316,125,39.6%,140,44.3%,300,115,38.3%,130,43.3%,Y
2014-2015,01,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,622,42,6.8%,54,8.7%,608,41,6.7%,53,8.7%,Y
2014-2015,01,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,572,35,6.1%,45,7.9%,572,35,6.1%,45,7.9%,Y
2014-2015,01,61127,0000001,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,1,0,0.0%,0,0.0%,1,0,0.0%,0,0.0%,Y
2014-2015,01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,10,12,27,10,37.0%,15,55.6%,21,9,42.9%,14,66.7%,Y
2014-2015,01,61127,0130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,195",166,13.9%,232,19.4%,"1,163",163,14.0%,228,19.6%,Y
2014-2015,01,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,570,58,10.2%,78,13.7%,570,58,10.2%,78,13.7%,Y
2014-2015,01,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,868,145,16.7%,188,21.7%,868,145,16.7%,188,21.7%,Y
2014-2015,01,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,523,54,10.3%,71,13.6%,523,54,10.3%,71,13.6%,Y
2014-2015,01,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,697,211,30.3%,247,35.4%,663,202,30.5%,236,35.6%,Y
2014-2015,01,61143,0000001,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,32,10,31.3%,10,31.3%,24,8,33.3%,8,33.3%,Y
2014-2015,01,61143,0122689,Alameda,Berkeley Unified,REALM Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1254,Directly funded,Y,6,8,310,182,58.7%,230,74.2%,310,182,58.7%,230,74.2%,Y
2014-2015,01,61143,0122697,Alameda,Berkeley Unified,REALM Charter High,Unified School District,High Schools (Public),Traditional,,Y,1255,Directly funded,Y,9,12,361,223,61.8%,267,74.0%,350,216,61.7%,260,74.3%,Y
2014-2015,01,61143,0131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"3,182",804,25.3%,934,29.4%,"3,096",768,24.8%,895,28.9%,Y
2014-2015,01,61143,0134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,,N,,,N,10,12,85,63,74.1%,65,76.5%,77,56,72.7%,58,75.3%,Y
2014-2015,01,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,957,286,29.9%,344,35.9%,957,286,29.9%,344,35.9%,Y
2014-2015,01,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,561,257,45.8%,285,50.8%,561,257,45.8%,285,50.8%,Y
2014-2015,01,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science Magnet,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,446,128,28.7%,145,32.5%,446,128,28.7%,145,32.5%,Y
2014-2015,01,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,441,151,34.2%,177,40.1%,441,151,34.2%,177,40.1%,Y
2014-2015,01,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,295,82,27.8%,104,35.3%,295,82,27.8%,104,35.3%,Y
2014-2015,01,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,392,113,28.8%,126,32.1%,379,106,28.0%,119,31.4%,Y
2014-2015,01,61143,6090278,Alameda,Berkeley Unified,Leconte Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,347,162,46.7%,177,51.0%,339,158,46.6%,172,50.7%,Y
2014-2015,01,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,567,151,26.6%,174,30.7%,549,143,26.0%,165,30.1%,Y
2014-2015,01,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,510,224,43.9%,261,51.2%,510,224,43.9%,261,51.2%,Y
2014-2015,01,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,302,94,31.1%,117,38.7%,302,94,31.1%,117,38.7%,Y
2014-2015,01,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,452,160,35.4%,197,43.6%,451,160,35.5%,197,43.7%,Y
2014-2015,01,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,468,148,31.6%,170,36.3%,459,144,31.4%,166,36.2%,Y
2014-2015,01,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,445,139,31.2%,161,36.2%,432,135,31.3%,157,36.3%,Y
2014-2015,01,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,289,124,42.9%,141,48.8%,279,122,43.7%,139,49.8%,Y
2014-2015,01,61150,0000001,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,19,3,15.8%,4,21.1%,16,3,18.8%,4,25.0%,Y
2014-2015,01,61150,0130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,,N,,,N,9,12,28,3,10.7%,3,10.7%,1,0,0.0%,0,0.0%,Y
2014-2015,01,61150,0132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,977",382,12.8%,508,17.1%,"2,921",369,12.6%,494,16.9%,Y
2014-2015,01,61150,0135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,129,34,26.4%,41,31.8%,115,31,27.0%,37,32.2%,Y
2014-2015,01,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,493,146,29.6%,182,36.9%,465,140,30.1%,175,37.6%,Y
2014-2015,01,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,451,50,11.1%,65,14.4%,451,50,11.1%,65,14.4%,Y
2014-2015,01,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,788,87,11.0%,129,16.4%,788,87,11.0%,129,16.4%,Y
2014-2015,01,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,625,45,7.2%,66,10.6%,594,42,7.1%,62,10.4%,Y
2014-2015,01,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,450,112,24.9%,142,31.6%,450,112,24.9%,142,31.6%,Y
2014-2015,01,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,142,11,7.7%,14,9.9%,142,11,7.7%,14,9.9%,Y
2014-2015,01,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,532,52,9.8%,76,14.3%,532,52,9.8%,76,14.3%,Y
2014-2015,01,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,461,80,17.4%,117,25.4%,447,77,17.2%,114,25.5%,Y
2014-2015,01,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,415,40,9.6%,50,12.0%,415,40,9.6%,50,12.0%,Y
2014-2015,01,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,"1,400",233,16.6%,333,23.8%,"1,400",233,16.6%,333,23.8%,Y
2014-2015,01,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,451,11,2.4%,17,3.8%,451,11,2.4%,17,3.8%,Y
2014-2015,01,61168,0132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,191,113,59.2%,130,68.1%,185,109,58.9%,126,68.1%,Y
2014-2015,01,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,504,335,66.5%,368,73.0%,492,327,66.5%,358,72.8%,Y
2014-2015,01,61176,0000001,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,46,8,17.4%,8,17.4%,38,8,21.1%,8,21.1%,Y
2014-2015,01,61176,0127233,Alameda,Fremont Unified,Young Adult Program,Unified School District,Special Education Schools (Public),Special Education School,,N,,,N,9,12,25,1,4.0%,1,4.0%,0,0,0.0%,0,0.0%,Y
2014-2015,01,61176,0130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,985",303,15.3%,368,18.5%,"1,938",288,14.9%,351,18.1%,Y
2014-2015,01,61176,0130138,Alameda,Fremont Unified,Robertson High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,207,73,35.3%,90,43.5%,167,59,35.3%,76,45.5%,Y
2014-2015,01,61176,0130435,Alameda,Fremont Unified,Vista Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,7,12,52,8,15.4%,9,17.3%,46,7,15.2%,8,17.4%,Y
2014-2015,01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,,Y,0152,Locally funded,N,K,12,247,23,9.3%,23,9.3%,237,22,9.3%,22,9.3%,Y
2014-2015,01,61176,0134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,248",221,9.8%,288,12.8%,"2,216",217,9.8%,282,12.7%,Y
2014-2015,01,61176,0134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,436",362,25.2%,452,31.5%,"1,391",351,25.2%,440,31.6%,Y
2014-2015,01,61176,0135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,129",60,2.8%,72,3.4%,"2,108",58,2.8%,69,3.3%,Y
2014-2015,01,61176,0138693,Alameda,Fremont Unified,Washington High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,833",318,17.3%,388,21.2%,"1,785",304,17.0%,372,20.8%,Y
2014-2015,01,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,440,171,38.9%,219,49.8%,425,166,39.1%,214,50.4%,Y
2014-2015,01,61176,6000558,Alameda,Fremont Unified,Brier Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,748,273,36.5%,321,42.9%,715,272,38.0%,320,44.8%,Y
2014-2015,01,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,386,178,46.1%,215,55.7%,386,178,46.1%,215,55.7%,Y
2014-2015,01,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,377,182,48.3%,227,60.2%,377,182,48.3%,227,60.2%,Y
2014-2015,01,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,656,193,29.4%,224,34.1%,656,193,29.4%,224,34.1%,Y
2014-2015,01,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,479,103,21.5%,123,25.7%,462,99,21.4%,119,25.8%,Y
2014-2015,01,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,513,165,32.2%,209,40.7%,479,159,33.2%,203,42.4%,Y
